name,rating,number_voted,street,suburb,postcode,lat,lon
Santa Lucia Pizzeria e Ristorante,68,16,776 Nicholson St North Fitzroy,Melbourne,3068,-37.781303,144.978149
Santino's Terrace,70,17,166 Lygon St,Carlton,3053,-37.803249,144.966644
Sassy's Jamaican Kitchen,93,155,376 St Georges Rd,Fitzroy North,3068,-37.778786,144.98793
Scarpetta Ristorante,88,42,257 Brunswick St,Fitzroy,3065,-37.799568,144.978073
Scopri Italian Food &amp; Wine,87,89,191 Nicholson St,Carlton,3053,-37.795712,144.975037
Sea Salt,83,71,364 Lygon Street,Carlton,3053,-37.798199,144.967529
Seafood Shak,83,12,150 Scotchmer St,Fitzroy North,3068,-37.783455,144.984161
Seasons Provedore,83,18,"199 Lygon St, Carlton, 3053",Carlton,3053,-37.800888,144.966736
Seven Seeds,86,519,114 Berkeley St,Carlton,3053,-37.802513,144.958923
Shakahari Vegetarian,88,190,203 Faraday St,Carlton,3053,-37.798851,144.967911
Shakshek Lebanese Restaurant,0,1,386-388 Brunswick St,Fitzroy,3065,-37.79565,144.979145
Shire Cafe,76,47,69 Victoria St,Fitzroy,3065,-37.799038,144.977097
Shocolate,87,73,3/296 Brunswick St,Fitzroy,3065,-37.798473,144.978607
Sila Espresso Bar,100,9,189 Brunswick Street,Fitzroy,3065,-37.801853,144.977676
Sinans,0,0,649 Rathdowne St,Carlton,3053,-37.799477,144.970596
Sippers,100,4,164 Rathdowne St,Carlton,3053,-37.798256,144.970169
Slowpoke,92,14,"157 Brunswick Street,",Fitzroy,3065,-37.80286,144.977524
Snake Pit,100,7,386-388 Brunswick St,Fitzroy,3065,-37.79565,144.979145
Sonido!,93,91,69 Gertrude St,Melbourne,3065,-37.805534,144.976471
Sosta Cucina,81,158,12 Errol St,North Melbourne,,-37.804848,144.949463
Soul Soup Cafe,96,100,55 Cardigan St,Carlton,3053,-37.805573,144.964417
Southern Indian Restaurant,0,1,118 Lygon St,Carlton,3053,-37.804211,144.966492
Souvlaki King,89,19,311 Brunswick St,Fitzroy,3065,-37.797871,144.978363
Spudbar,88,26,368 Brunswick St,Fitzroy,3065,-37.796299,144.978973
St Ann's on Rathdowne,90,20,401 Rathdowne St,Carlton,3053,-37.797031,144.970383
St Jude's Cellars,85,184,391 Brunswick St,Fitzroy,3065,-37.795547,144.97876
Stuzzichino Caffe Bar Spuntini,48,43,169 Lygon St,Carlton,3053,-37.801796,144.966583
Sumos Noodle &amp; Sushi Bar,56,16,298 Queens Pde,Clifton Hill,3068,-37.788727,144.989822
Super Tasty Rooster,92,39,121 Scotchmer St,Fitzroy North,3068,-37.783073,144.983063
Supermaxi,68,169,305 St Georges Rd,Fitzroy North,3068,-37.780621,144.985962
Sustenance,66,3,296 Brunswick St,Fitzroy,3065,-37.798492,144.978577
Sweet Source,88,59,288 Rathdowne St,Carlton North,3054,-37.791824,144.971741
Taco Bill Mexican Restaurant (Clifton Hill),41,48,99 Queens Pde,Clifton Hill,3068,-37.789555,144.989532
Tank Fish &amp; Chippery,71,73,149 Lygon Street,Melbourne,3053,-37.803596,144.966263
Tcheft,100,5,"Melbourne Museum, 11 Nicholson Street",Carlton,3053,-37.803619,144.973663
Terminus Hotel,88,169,492 Queens Pde,Clifton Hill,3068,-37.785496,144.994354
Terminus,60,5,Clifton Hill,Clifton Hill,3068,-37.791302,144.994598
Thai City,55,27,124 Lygon St,Carlton,3053,-37.804119,144.966507
Thai Classic,78,41,507 Nicholson St,Carlton North,3068,-37.787647,144.976486
Thai Thani,80,46,293 Brunswick St,Fitzroy,3065,-37.798557,144.978241
That's Amore Pizza,59,22,215-217 Abbotsford St,Melbourne,3051,-37.802277,144.945404
The Alchemist Cocktail Bar,88,59,361 Brunswick St,Fitzroy,3065,-37.796387,144.978607
The Carlton Pantry,0,0,"Shop 11, Lygon Court",Melbourne,3053,-37.806641,144.965744
The Carlton Wine Room,63,11,172-174 Faraday Street,Carlton,3053,-37.798664,144.968567
The Commoner,90,197,122 Johnston St,Fitzroy,3065,-37.798473,144.978714
The Corkman Irish Pub,72,22,160 Leicester St,Carlton,3053,-37.802364,144.960785
The Courthouse,87,209,90 Errol St,North Melbourne,3051,-37.802872,144.949814
The Empress Hotel,57,26,714 Nicholson St,Carlton North,3068,-37.782822,144.97789
The Fitz,82,90,347 Brunswick St,Fitzroy,3065,-37.796848,144.978516
The French Lettuce Patisserie &amp; Bakery,87,58,237 Nicholson St,Carlton,3053,-37.794445,144.975235
The Kebab Factory,66,15,320-324 Brunswick Street,Fitzroy,3065,-37.7975134,144.9786172
The Kebab Factory,75,8,95 Lygon St Carlton‎‎ 3053,Carlton,3053,-37.804653,144.96608
The Kodiak Club,83,101,272 Brunswick Street Fitzroy,Fitzroy,3065,-37.799225,144.978485
The Leveson,81,82,46 Leveson St,Melbourne,3051,-37.803616,144.951187
The Lunchtime Escape,90,10,96 Gertrude St.,Fitzroy,3065,-37.805897,144.977493
The Oven,74,55,339 brunswick st,Melbourne,3065,-37.79705,144.9785
The Parkview Hotel,66,6,131 Scotchmer Street,Fitzroy North,3068,-37.783142,144.983612
The Pinnacle,78,51,251 St Georges Rd,Fitzroy North,3068,-37.783009,144.983902
The Provincial Hotel / Cafe Provincial,81,88,299 Brunswick St,Fitzroy,3065,-37.798233,144.978302
The Pumphouse Hotel,66,15,128 Nicholson St,Fitzroy,3065,-37.801785,144.974457
The Queen's Bees Cafe,91,12,562 Queensberry St,North Melbourne,3051,-37.802811,144.948746
The Royal Derby Hotel,76,13,446 Brunswick Street,Fitzroy,3065,-37.793549,144.979416
